date,mean(¡ÆC),prep(mm),humidity(%),whole_price,retail_price
20160101,1.2,0,73,23000,4413
20160102,5.7,0,76.9,23000,4413
20160103,6.5,0,80.6,23000,4413
20160104,2,0,54.4,23000,4413
20160105,-2.7,0,39.4,23000,4413
20160106,-1.7,0,54.3,23000,4413
20160107,-3.4,0,51.8,23000,4413
20160108,-3.3,0,49.8,23000,4413
20160109,-2.1,0,57.1,30000,4413
20160110,0.3,0,42.3,30000,4413
20160111,-3.8,0,38.3,30000,4413
20160112,-5.2,0,46,30000,4413
20160113,-4.5,0.4,63,30000,4413
20160114,-3.4,0,52.1,30000,4733
20160115,-0.4,0,52.3,35000,4733
20160116,-0.2,0.1,68,35000,4733
20160117,1.7,0,64,40000,4733
20160118,-6.3,0.2,59.8,40000,4733
20160119,-12.8,0,45.9,30000,4733
20160120,-10.5,0,43.6,35000,4383
20160121,-7.1,0,44.3,30000,5233
20160122,-7.6,0,40.5,30000,5233
20160123,-11.5,0,42,30000,5233
20160124,-14.4,0,48.5,30000,5233
20160125,-9.4,0,47.1,30000,5233
20160126,-3.3,0.3,64.5,30000,5233
20160127,-1.1,0,56.3,30000,5233
20160128,-0.5,0,51.5,35000,5980
20160129,1.9,0,43.6,30000,5980
20160130,0.6,0,59.5,30000,5980
20160131,-3.9,0,34,30000,5980
20160201,-6,0,36,30000,5980
20160202,-5.3,0,41.8,30000,5980
20160203,-2.4,0,49.6,33000,5980
20160204,-0.7,0,50.1,30000,6950
20160205,-2.2,0,39.4,30000,6950
20160206,-3.1,0,38.6,30000,6950
20160207,-2.9,0,46.5,30000,6950
20160208,1.3,0,62.1,20000,6950
20160209,0.3,0,52.5,20000,6750
20160210,2.7,0,38.5,20000,6750
20160211,8.1,0.1,29.3,20000,6750
20160212,8.4,18,95.3,25000,6750
20160213,11,21,95,25000,6750
20160214,-2.6,2.5,73.1,30000,6750
20160215,-5.8,0,48.4,30000,6750
20160216,-2.7,0.8,65.6,33000,6750
20160217,0,0,53.9,33000,6750
20160218,3.5,0,66.4,30000,5750
20160219,2.3,0,56.4,30000,5750
20160220,1.3,0,37.1,30000,5750
20160221,-0.6,0,36.4,30000,5583
20160222,1.1,0,36.6,30000,5583
20160223,0.7,0.9,56,30000,5583
20160224,-3,0,42,30000,5750
20160225,-0.2,0,49.9,30000,5427
20160226,2.2,0,41.3,30000,5427
20160227,3.3,0.2,57.6,30000,5427
20160228,0.7,4.1,65.5,30000,5427
20160229,-3.8,0,48.6,30000,5427
20160301,-2.7,0,47.3,25000,5427
20160302,3.1,0,67.9,25000,5427
20160303,8.1,0,65.1,30000,4635
20160304,13.2,0.1,55.3,30000,5390
20160305,11.3,40,91.3,30000,5390
20160306,7.9,0.2,51,40000,5390
20160307,8.1,0,36.9,40000,5390
20160308,2.7,0,40.4,37000,5617
20160309,0.3,0,37.5,40000,5783
20160310,-1.1,0,37.8,40000,5783
20160311,-0.5,0,43.8,40000,5950
20160312,2,0,55.6,40000,5950
20160313,3.7,0.1,68.1,40000,6083
20160314,4.7,0,57,40000,6083
20160315,5.2,0,43.4,42000,6083
20160316,7.5,0,45.1,42000,6083
20160317,9.3,0,40.9,42000,5557
20160318,13.4,0,50,42000,5723
20160319,11.4,0,58.3,42000,5723
20160320,10.6,0,54,42000,5723
20160321,9.9,0,54.1,42000,5723
20160322,8,0,58.1,42000,5723
20160323,8.2,0,49.6,40000,5723
20160324,7.2,0,36.5,40000,5297
20160325,7.1,0,43.9,38000,5297
20160326,6.5,0,54.5,38000,5297
20160327,7.2,0,55.6,38000,5297
20160328,9.8,0,47.8,38000,5297
20160329,11.3,0.1,57.8,33000,5130
