date,mean(¡ÆC),prep(mm),humidity(%),in,week(code),whole_price,retail_price
20160101,1.2,0,73,0,0,26000,4125
20160102,5.7,0,76.9,0,0,26000,4125
20160103,6.5,0,80.6,0,0,26000,4125
20160104,2,0,54.4,11660,1,26000,4125
20160105,-2.7,0,39.4,24344,1,26000,4188
20160106,-1.7,0,54.3,5985,1,28000,4269
20160107,-3.4,0,51.8,5380,1,25000,4300
20160108,-3.3,0,49.8,16645,1,24000,4300
20160109,-2.1,0,57.1,10541,1,24000,4300
20160110,0.3,0,42.3,0,0,25000,4435
20160111,-3.8,0,38.3,16210,1,25000,4435
20160112,-5.2,0,46,19283,1,25000,4466
20160113,-4.5,0.4,63,3875,1,27000,4466
20160114,-3.4,0,52.1,6936,1,25000,4591
20160115,-0.4,0,52.3,10895,1,26000,4633
20160116,-0.2,0.1,68,15503,1,26000,4633
20160117,1.7,0,64,0,0,27000,4633
20160118,-6.3,0.2,59.8,7488,1,27000,4633
20160119,-12.8,0,45.9,26182,1,27000,4501
20160120,-10.5,0,43.6,4546,1,29000,4501
20160121,-7.1,0,44.3,910,1,28000,4301
20160122,-7.6,0,40.5,23310,1,30000,4323
20160123,-11.5,0,42,12550,1,30000,4323
20160124,-14.4,0,48.5,0,0,32000,4641
20160125,-9.4,0,47.1,17240,1,32000,4641
20160126,-3.3,0.3,64.5,105,1,34000,4641
20160127,-1.1,0,56.3,6875,1,35000,4735
20160128,-0.5,0,51.5,2845,1,33000,5404
20160129,1.9,0,43.6,16685,1,35000,5404
20160130,0.6,0,59.5,0,0,35000,5404
20160131,-3.9,0,34,0,0,36000,5404
20160201,-6,0,36,11580,1,36000,5404
20160202,-5.3,0,41.8,6465,1,36000,5404
20160203,-2.4,0,49.6,20145,1,36000,5404
20160204,-0.7,0,50.1,3909,1,37000,5816
20160205,-2.2,0,39.4,21370,1,37000,5816
20160206,-3.1,0,38.6,8460,1,37000,5816
20160207,-2.9,0,46.5,0,0,37000,5816
20160208,1.3,0,62.1,0,0,35000,5816
20160209,0.3,0,52.5,0,0,35000,5566
20160210,2.7,0,38.5,0,0,35000,5566
20160211,8.1,0.1,29.3,18730,1,35000,5566
20160212,8.4,18,95.3,25051,1,33000,5566
20160213,11,21,95,4798,1,33000,5566
20160214,-2.6,2.5,73.1,0,0,34000,5566
20160215,-5.8,0,48.4,21740,1,34000,5566
20160216,-2.7,0.8,65.6,12589,1,33000,5566
20160217,0,0,53.9,13672,1,33000,5670
20160218,3.5,0,66.4,14541,1,33000,5639
20160219,2.3,0,56.4,21455,1,32000,5733
20160220,1.3,0,37.1,9494,1,32000,5733
20160221,-0.6,0,36.4,0,0,30000,5733
20160222,1.1,0,36.6,27765,1,30000,5733
20160223,0.7,0.9,56,12368,1,30000,5733
20160224,-3,0,42,12377,1,30000,5754
20160225,-0.2,0,49.9,12181,1,30000,5254
20160226,2.2,0,41.3,19524,1,30000,5254
20160227,3.3,0.2,57.6,17529,1,30000,5254
20160228,0.7,4.1,65.5,0,0,30000,5254
20160229,-3.8,0,48.6,21578,1,30000,5191
20160301,-2.7,0,47.3,13135,1,33000,5191
20160302,3.1,0,67.9,11141,1,33000,5191
20160303,8.1,0,65.1,16499,1,35000,5079
20160304,13.2,0.1,55.3,19157,1,35000,5141
20160305,11.3,40,91.3,18820,1,35000,5141
20160306,7.9,0.2,51,0,0,37000,5204
20160307,8.1,0,36.9,23066,1,37000,5204
20160308,2.7,0,40.4,16502,1,37000,5204
20160309,0.3,0,37.5,20742,1,40000,5204
20160310,-1.1,0,37.8,16183,1,40000,5454
20160311,-0.5,0,43.8,18536,1,45000,5454
20160312,2,0,55.6,17556,1,45000,5454
20160313,3.7,0.1,68.1,0,0,46000,5308
20160314,4.7,0,57,28569,1,46000,5308
20160315,5.2,0,43.4,24685,1,44000,5308
20160316,7.5,0,45.1,15487,1,41000,5308
20160317,9.3,0,40.9,16698,1,38000,5245
20160318,13.4,0,50,20223,1,39000,5245
20160319,11.4,0,58.3,15807,1,39000,5245
20160320,10.6,0,54,0,0,37000,5245
20160321,9.9,0,54.1,34313,1,37000,5245
20160322,8,0,58.1,31530,1,35000,5308
20160323,8.2,0,49.6,14577,1,35000,5308
20160324,7.2,0,36.5,18837,1,33000,4755
20160325,7.1,0,43.9,30791,1,31000,4796
20160326,6.5,0,54.5,28725,1,31000,4796
20160327,7.2,0,55.6,0,0,33000,4796
20160328,9.8,0,47.8,35227,1,33000,4796
20160329,11.3,0.1,57.8,41240,1,34000,4796
20160330,11.5,0,49.9,26041,1,34000,4796
20160331,13.5,0,27,15504,1,32000,4911
20160401,15.3,0,26,34652,1,33000,4954
20160402,15,0,40.8,23415,1,33000,4954
20160403,10.7,2,75.1,0,0,33000,4954
20160404,12.3,0,42.6,38232,1,33000,4954
20160405,11.4,0,45.1,33986,1,33000,4954
20160406,14.4,3,44.3,34878,1,33000,4954
20160407,14.1,7.5,69.5,19749,1,33000,4748
20160408,11.1,0,76.1,28305,1,33000,4560
20160409,10.7,0,83.9,34419,1,33000,4560
20160410,13.4,0,71.3,0,0,33000,4476
20160411,12.5,0,43.8,35621,1,33000,4476
20160412,14.1,0,42.6,47206,1,31000,4425
20160413,15.6,1,67.5,32983,1,31000,4425
20160414,12.4,0,75.9,39803,1,31000,4411
20160415,15,0,46.4,42841,1,31000,4568
20160416,14.9,23.5,58.9,27983,1,31000,4568
20160417,10.8,20.5,66.8,0,0,31000,4544
20160418,11.2,1.5,65.4,56162,1,31000,4544
20160419,12,0,55.1,46470,1,31000,4481
20160420,14.3,0.5,54,40121,1,30000,4481
20160421,13.5,17,87.6,30050,1,30000,4190
20160422,13.5,0,83.4,41738,1,28000,4169
20160423,13.5,0,52.1,50055,1,28000,4169
20160424,15.5,0,39.6,0,0,28000,4289
20160425,17.2,0,34.8,49987,1,28000,4289
20160426,21.1,0,34.8,41027,1,28000,4248
20160427,17.2,0,32,24057,1,26000,4144
20160428,17.2,0,34.4,25412,1,25000,3880
20160429,16.2,0.3,47.6,55013,1,23000,3838
20160430,15.9,0,45.3,40805,1,23000,3838
20160501,18.8,0,40.5,0,0,22000,3765
20160502,21.1,16.5,64.5,56875,1,22000,3765
20160503,12.9,27,86.1,52487,1,22000,3765
20160504,15.7,0,46.6,62167,1,20000,3775
20160505,18.9,7.5,50.8,44904,1,20000,3775
20160506,16.3,9.5,89.3,50766,1,20000,3775
20160507,16.5,0,60.3,21977,1,18000,3450
20160508,19.4,0,44.8,0,0,18000,3450
20160509,20.2,0,43,75306,1,18000,3450
20160510,14.5,13.5,82.4,61458,1,16000,3399
20160511,16.4,0,60.9,46980,1,16000,3336
20160512,17.8,0,62.4,37441,1,16000,3436
20160513,18.6,0.5,57,47415,1,15000,3436
20160514,20.2,0,47.1,14878,1,15000,3436
20160515,17.4,45,73.9,0,0,15000,3489
20160516,15.9,2.5,57,57529,1,15000,3489
20160517,19.3,0,48.8,57121,1,14000,3451
